Nr,TID,PID,x [0],y [0],t [sec],I [val],Len [0],D2S [0],D2R [0],D2P [0],v [0/sec],? [deg],?? [deg]
282,142,1,161.165,60.886,0,107.7,0,0,NA,NA,NA,NA,NA
283,142,2,162.06,61.307,0,91.9,0.988,0.988,NA,0.988,NA,25.201,NA
284,143,1,162.375,65.463,0,109.3,0,0,NA,NA,NA,NA,NA
285,143,2,163.533,65.253,0,122.3,1.176,1.176,NA,1.176,NA,-10.305,NA
286,144,1,161.797,66.463,0,69.6,0,0,NA,NA,NA,NA,NA
287,144,2,162.901,66.515,0,59,1.106,1.106,NA,1.106,NA,2.726,NA
288,145,1,163.427,57.413,0,99.5,0,0,NA,NA,NA,NA,NA
289,145,2,164.901,57.992,0,93.2,1.583,1.583,NA,1.583,NA,21.448,NA
290,146,1,167.584,57.308,0,103.7,0,0,NA,NA,NA,NA,NA
291,146,2,168.899,58.308,0,65.7,1.652,1.652,NA,1.652,NA,37.235,NA
292,147,1,170.215,58.887,0,92.9,0,0,NA,NA,NA,NA,NA
293,147,2,171.425,59.255,0,96.1,1.265,1.265,NA,1.265,NA,16.928,NA
294,148,1,167.163,61.096,0,77.5,0,0,NA,NA,NA,NA,NA
295,148,2,168.32,62.043,0,58.9,1.496,1.496,NA,1.496,NA,39.289,NA
296,149,1,168.847,62.569,0,62.9,0,0,NA,NA,NA,NA,NA
297,149,2,169.373,63.99,0,84.4,1.515,1.515,NA,1.515,NA,69.677,NA
298,150,1,170.688,63.096,0,93.4,0,0,NA,NA,NA,NA,NA
299,150,2,171.372,63.885,0,90.8,1.044,1.044,NA,1.044,NA,49.086,NA
300,151,1,182.263,61.78,0,119.2,0,0,NA,NA,NA,NA,NA
301,151,2,183.262,62.359,0,110.1,1.155,1.155,NA,1.155,NA,30.069,NA
302,152,1,176.107,58.255,0,110.9,0,0,NA,NA,NA,NA,NA
303,152,2,177.633,59.044,0,95.3,1.718,1.718,NA,1.718,NA,27.35,NA
304,153,1,173.213,58.992,0,92.9,0,0,NA,NA,NA,NA,NA
305,153,2,173.845,60.254,0,64.4,1.412,1.412,NA,1.412,NA,63.435,NA
306,154,1,175.634,60.307,0,67.2,0,0,NA,NA,NA,NA,NA
307,154,2,176.318,61.254,0,64.9,1.168,1.168,NA,1.168,NA,54.162,NA
308,155,1,172.845,61.096,0,65.7,0,0,NA,NA,NA,NA,NA
309,155,2,173.371,62.464,0,60.7,1.466,1.466,NA,1.466,NA,68.962,NA
310,156,1,174.95,63.253,0,118.9,0,0,NA,NA,NA,NA,NA
311,156,2,175.423,64.569,0,77.6,1.398,1.398,NA,1.398,NA,70.201,NA
312,157,1,178.212,62.885,0,123.5,0,0,NA,NA,NA,NA,NA
313,157,2,179.264,63.99,0,66.8,1.526,1.526,NA,1.526,NA,46.397,NA
314,158,1,184.999,57.834,0,107.9,0,0,NA,NA,NA,NA,NA
315,158,2,186.84,58.518,0,86.6,1.964,1.964,NA,1.964,NA,20.376,NA
316,159,1,187.892,59.202,0,94.9,0,0,NA,NA,NA,NA,NA
317,159,2,188.945,59.991,0,108.6,1.315,1.315,NA,1.315,NA,36.87,NA
318,160,1,185.104,53.73,0,113.8,0,0,NA,NA,NA,NA,NA
319,160,2,186.261,54.572,0,100.4,1.431,1.431,NA,1.431,NA,36.027,NA
320,161,1,188.155,53.783,0,108.8,0,0,NA,NA,NA,NA,NA
321,161,2,188.945,54.362,0,106.4,0.979,0.979,NA,0.979,NA,36.254,NA
322,162,1,187.892,55.888,0,107.2,0,0,NA,NA,NA,NA,NA
323,162,2,189.05,56.624,0,85.2,1.372,1.372,NA,1.372,NA,32.471,NA
324,163,1,191.628,57.361,0,103.9,0,0,NA,NA,NA,NA,NA
325,163,2,192.943,58.203,0,109.9,1.562,1.562,NA,1.562,NA,32.619,NA
326,164,1,146.855,60.886,0,63.4,0,0,NA,NA,NA,NA,NA
327,164,2,147.065,62.254,0,51.1,1.384,1.384,NA,1.384,NA,81.254,NA
328,165,1,149.59,61.412,0,52.4,0,0,NA,NA,NA,NA,NA
329,165,2,149.643,63.253,0,36.9,1.842,1.842,NA,1.842,NA,88.363,NA
330,166,1,142.856,61.096,0,51.6,0,0,NA,NA,NA,NA,NA
331,166,2,142.909,62.201,0,53.1,1.106,1.106,NA,1.106,NA,87.274,NA
332,167,1,141.12,63.253,0,46.8,0,0,NA,NA,NA,NA,NA
333,167,2,141.172,64.832,0,37.3,1.579,1.579,NA,1.579,NA,88.091,NA
334,168,1,144.961,63.727,0,45.2,0,0,NA,NA,NA,NA,NA
335,168,2,145.171,65.253,0,47.5,1.54,1.54,NA,1.54,NA,82.147,NA
336,169,1,138.489,62.569,0,59.6,0,0,NA,NA,NA,NA,NA
337,169,2,139.068,64.306,0,66.9,1.83,1.83,NA,1.83,NA,71.565,NA
338,170,1,86.508,58.045,0,93.6,0,0,NA,NA,NA,NA,NA
339,170,2,86.14,58.939,0,80,0.967,0.967,NA,0.967,NA,112.38,NA
340,171,1,89.507,59.202,0,85.8,0,0,NA,NA,NA,NA,NA
341,171,2,88.876,59.939,0,88.5,0.97,0.97,NA,0.97,NA,130.601,NA
342,172,1,95.505,58.15,0,99.6,0,0,NA,NA,NA,NA,NA
343,172,2,95.294,59.097,0,92.9,0.97,0.97,NA,0.97,NA,102.529,NA
344,173,1,99.924,58.834,0,77,0,0,NA,NA,NA,NA,NA
345,173,2,99.03,60.307,0,59.9,1.723,1.723,NA,1.723,NA,121.264,NA
346,174,1,99.766,61.517,0,70.9,0,0,NA,NA,NA,NA,NA
347,174,2,98.504,62.885,0,63.7,1.862,1.862,NA,1.862,NA,132.709,NA
348,175,1,94.137,63.674,0,84.3,0,0,NA,NA,NA,NA,NA
349,175,2,93.4,64.884,0,90.2,1.417,1.417,NA,1.417,NA,121.329,NA
350,176,1,69.304,57.939,0,73.1,0,0,NA,NA,NA,NA,NA
351,176,2,68.515,59.15,0,77.2,1.445,1.445,NA,1.445,NA,123.111,NA
352,177,1,80.879,58.255,0,87.2,0,0,NA,NA,NA,NA,NA
353,177,2,80.563,58.992,0,76.2,0.801,0.801,NA,0.801,NA,113.199,NA
354,178,1,65.147,57.308,0,88.9,0,0,NA,NA,NA,NA,NA
355,178,2,64.463,58.308,0,78.3,1.211,1.211,NA,1.211,NA,124.38,NA
356,179,1,65.989,54.099,0,106.4,0,0,NA,NA,NA,NA,NA
357,179,2,65.358,55.151,0,71.9,1.227,1.227,NA,1.227,NA,120.964,NA
358,180,1,58.518,46.891,0,100.9,0,0,NA,NA,NA,NA,NA
359,180,2,58.045,47.838,0,80.9,1.059,1.059,NA,1.059,NA,116.565,NA
360,181,1,54.678,46.628,0,107.5,0,0,NA,NA,NA,NA,NA
361,181,2,53.941,47.785,0,100.1,1.372,1.372,NA,1.372,NA,122.471,NA
362,182,1,76.249,40.472,0,108.7,0,0,NA,NA,NA,NA,NA
363,182,2,75.933,41.893,0,117.6,1.455,1.455,NA,1.455,NA,102.529,NA
364,183,1,76.933,43.734,0,115,0,0,NA,NA,NA,NA,NA
365,183,2,76.67,45.155,0,96.3,1.445,1.445,NA,1.445,NA,100.491,NA
366,184,1,82.773,44.155,0,112.5,0,0,NA,NA,NA,NA,NA
367,184,2,82.404,45.155,0,108.5,1.065,1.065,NA,1.065,NA,110.225,NA
368,185,1,69.83,43.103,0,103.6,0,0,NA,NA,NA,NA,NA
369,185,2,69.619,44.313,0,86.2,1.228,1.228,NA,1.228,NA,99.866,NA
370,186,1,105.606,49.89,0,124.4,0,0,NA,NA,NA,NA,NA
371,186,2,105.291,51.152,0,116.5,1.302,1.302,NA,1.302,NA,104.036,NA
372,187,1,110.552,56.308,0,107.4,0,0,NA,NA,NA,NA,NA
373,187,2,110.289,57.834,0,86.9,1.548,1.548,NA,1.548,NA,99.782,NA
374,188,1,107.606,57.939,0,92.7,0,0,NA,NA,NA,NA,NA
375,188,2,107.343,59.097,0,52.6,1.187,1.187,NA,1.187,NA,102.804,NA
376,189,1,105.922,58.097,0,94.5,0,0,NA,NA,NA,NA,NA
377,189,2,105.659,59.57,0,56.4,1.496,1.496,NA,1.496,NA,100.125,NA
378,190,1,116.471,60.938,0,85.7,0,0,NA,NA,NA,NA,NA
379,190,2,116.523,62.622,0,82.3,1.684,1.684,NA,1.684,NA,88.21,NA
380,191,1,127.309,60.728,0,86.7,0,0,NA,NA,NA,NA,NA
381,191,2,127.362,61.938,0,78.9,1.211,1.211,NA,1.211,NA,87.51,NA
382,192,1,129.15,62.675,0,84.5,0,0,NA,NA,NA,NA,NA
383,192,2,129.361,64.253,0,68.2,1.592,1.592,NA,1.592,NA,82.405,NA
384,193,1,131.728,68.409,0,89.1,0,0,NA,NA,NA,NA,NA
385,193,2,131.886,70.04,0,104.6,1.639,1.639,NA,1.639,NA,84.472,NA
386,194,1,134.885,68.199,0,81.9,0,0,NA,NA,NA,NA,NA
387,194,2,135.622,69.619,0,88.5,1.6,1.6,NA,1.6,NA,62.592,NA
388,195,1,136.516,61.465,0,65.2,0,0,NA,NA,NA,NA,NA
389,195,2,136.885,63.148,0,107.4,1.723,1.723,NA,1.723,NA,77.661,NA
